,mic,ticker,isin,name,status,issuer_name,country_code,currency_code,industry_name,industry_code,super_sector_name,super_sector_code,sector_name,sector_code,sub_sector_name,sub_sector_code,industry_class,domicile,issuer_domicile,distributions,ter,quote_units,asset_class,locality
108,XJSE,CSGOVI,ZAE000316162,Coreshares Govi,listed,Coreshares Index Tracker Managers (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.25,cents,bond,ZA
167,XJSE,CSP500,ZAE000268694,Coreshares S&P 500,listed,Coreshares Index Tracker Managers (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.39,cents,equity,US
129,XJSE,CSPROP,ZAE000273165,Coreshares SA Property,listed,Coreshares Index Tracker Managers (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.45,cents,property,ZA
139,XJSE,CTOP50,ZAE000204327,Coreshares Top 50,listed,Coreshares Index Tracker Managers (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.25,cents,equity,ZA
120,XJSE,DIVTRX,ZAE000190104,Coreshares Divtrax,listed,Coreshares Index Tracker Managers (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.55,cents,equity,ZA
145,XJSE,GLOBAL,ZAE000297776,Coreshares Totalwldstock,listed,Coreshares Index Tracker Managers (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.29,cents,equity,ZZ
159,XJSE,GLODIV,ZAE000254249,Coreshares Globaldivtrax,listed,Coreshares Index Tracker Managers (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.57,cents,equity,ZZ
169,XJSE,GLPROP,ZAE000268660,Coreshares Global Prop,listed,Coreshares Index Tracker Managers (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.49,cents,property,ZZ
166,XJSE,PREFTX,ZAE000185658,Coreshares Preftrax,listed,Coreshares Index Tracker Managers (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.55,cents,equity,ZA
98,XJSE,SMART,ZAE000269502,Coreshares Scibeta M-Fi,listed,Coreshares Index Tracker Managers (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.56,cents,equity,ZA
154,XJSE,DCCUS2,ZAE000251179,2Yr Dollar CustodialCertificate,listed,Firstrand Bank Limited,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,bond,US
170,XJSE,DCCUSD,ZAE000234977,Dollar CustodialCertificatet,listed,Firstrand Bank Limited,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,bond,US
121,XJSE,KCCGLD,ZAE000195830,Kr CustodialCertificatetificate,listed,Firstrand Bank Limited,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,commodity,ZA
142,XJSE,FNBEQF,ZAE000303145,Fnb Global 1200 Fof ETF,listed,Fnb CIS Manco (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.46,cents,equity,ZZ
125,XJSE,FNBINF,ZAE000303103,Fnb Gov Inf Lnkd Bnd ETF,listed,Fnb CIS Manco (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.41,cents,bond,ZA
128,XJSE,FNBMID,ZAE000303111,Fnb Midcap ETF,listed,Fnb CIS Manco (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.61,cents,equity,ZA
134,XJSE,FNBT40,ZAE000303129,Fnb Top 40 ETF,listed,Fnb CIS Manco (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.13,cents,equity,ZA
90,XJSE,FNBWGB,ZAE000303137,Fnb World Govbond ETF,listed,Fnb CIS Manco (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.47,cents,bond,ZZ
